lastUpdated,text,title,url
2020-03-29 14:58:00,"For the political term, see Benevolent dictatorship.Benevolent dictator for life (BDFL) is a title given to a small number of open-source software development leaders, typically project founders who retain the final say in disputes or arguments within the community. The phrase originated in 1995 with reference to Guido van Rossum, creator of the Python programming language.[1][2] Shortly after Van Rossum joined the Corporation for National Research Initiatives, the term appeared in a follow-up mail by Ken Manheimer to a meeting trying to create a semi-formal group that would oversee Python development and workshops; this initial use included an additional joke of naming Van Rossum the ""First Interim BDFL"".[1] Van Rossum announced on July 12, 2018, that he would be stepping down as BDFL of Python.[3]BDFL should not be confused with the more common term for open-source leaders, ""benevolent dictator"", which was popularized by Eric S. Raymond's essay ""Homesteading the Noosphere"" (1999).[4] Among other topics related to hacker culture, Raymond elaborates on how the nature of open source forces the ""dictatorship"" to keep itself benevolent, since a strong disagreement can lead to the forking of the project under the rule of new leaders.
Referrant candidates[edit]

Name
",Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
2019-06-13 12:29:00,"Free softwareSpacemacsSpacemacs with recent files and editing windows openOriginal author(s)Sylvain Benner[1]Developer(s)Sylvain Benner and many others[2]Initial release30 October 2014; 5 years ago (2014-10-30)Stable release0.200.13[3]
   / 25 January 2018; 2 years ago (2018-01-25)Written inEmacs LispOperating systemUnix, Linux, Windows NT, macOSAvailable inEnglish (by default)TypeText editorLicenseGPLv3[4]Websitespacemacs.orgSpacemacs is a configuration framework for ",Spacemacs,https://en.wikipedia.org/wiki/Spacemacs
2020-02-22 20:28:00,"content-addressable, peer-to-peer hypermedia distribution protocolInterPlanetary File SystemOriginal author(s)Juan Benet and Protocol Labs[1]Developer(s)Protocol LabsInitial releaseFebruary 2015; 5 years ago (2015-02)[1]Stable release0.4.22
   / 13 August 2019; 7 months ago (2019-08-13)Repositorygithub.com/ipfs/ipfsWritten inProtocol implementations: Go (reference implementation), JavaScript, C,[2]PythonClient libraries: Go, Java, JavaScript, Python, Scala, Haskell, Swift, Common Lisp, Rust, Ruby, PHP, C#, ErlangOperating systemLinux, ",InterPlanetary File System,https://en.wikipedia.org/wiki/InterPlanetary_File_System
2020-01-12 00:14:00,"  Dries Buytaert at FOSDEM 2008.Dries Buytaert (born 19 November 1978 in Wilrijk, Antwerp, Belgium)[1] is an open-source softwareprogrammer notable as founder and lead developer of the Drupal content management system.[2][3][4]Contents1Career2References3External links3.1Interviews3.2Talks",Dries Buytaert,https://en.wikipedia.org/wiki/Dries_Buytaert
2019-12-18 17:22:00,"The topic of this article may not meet Wikipedia's notability guideline for biographies. Please help to establish notability by citing reliable secondary sources that are independent of the topic and provide significant coverage of it beyond a mere trivial mention. If notability cannot be established, the article is likely to be merged, redirected, or deleted.Find sources: ""Juan Benet"" computer scientist – news ·newspapers ·books ·scholar ·JSTOR  (September 2019) (Learn how and when to remove this template message)This article needs additional citations for verification. Please help improve this article",Juan Benet (computer scientist),https://en.wikipedia.org/wiki/Juan_Benet_(computer_scientist)
2020-03-29 01:06:00,"Russian-Canadian programmer and writerVitalik ButerinVitalik Buterin, 2016Born (1994-01-31) January 31, 1994 (age 26)Kolomna, RussiaNationalityRussian-CanadianAlma materUniversity of Waterloo(dropped out)Known forEthereum, Bitcoin MagazineAwardsThiel FellowshipScientific careerFieldsDigital contracts, digital currencies, game theoryWebsitevitalik.caVitaly Dmitriyevich ""Vitalik"" Buterin (Russian: Виталий Дмитриевич Бутерин; born January 31, 1994) is a Russian-Canadianprogrammer and writer primarily known as a co-founder of Ethereum and as a co-founder of ",Vitalik Buterin,https://en.wikipedia.org/wiki/Vitalik_Buterin
2020-03-31 18:35:00,"This article relies too much on references to primary sources. Please improve this  by adding secondary or tertiary sources.  (May 2019) (Learn how and when to remove this template message)ElmParadigmFunctionalDesigned byEvan CzaplickiFirst appearedMarch 30, 2012; 8 years ago (2012-03-30)[1]Stable release0.19.1
   / October 21, 2019; 5 months ago (2019-10-21)[2]Typing disciplineStatic, Strong, InferredLicensePermissive (Revised BSD)[3]Filename extensions",Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language)
2020-02-20 01:29:00,"Not to be confused with David Hanson (computer scientist).David Heinemeier HanssonHansson at the 2006 O'Reilly Emerging Technology ConferenceBorn (1979-10-15) 15 October 1979 (age 40)[1]Copenhagen, DenmarkOther namesDHHOccupationProgrammer[2]EmployerBasecampKnown forRuby on RailsWebsitedavid.heinemeierhansson.comDavid Heinemeier Hansson (born 15 October 1979) is a Danishprogrammer, racing driver and the creator of the popular Ruby on Railsweb developmentframework and the Instiki wiki.[3] He is also a partner at the web-based software development firm Basecamp. 
",David Heinemeier Hansson,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson
2020-04-02 21:42:00,"Web content management systemDrupalDrupal 8 in action. Showing in-context editing and previews (WYSIWYG).Original author(s)Dries BuytaertDeveloper(s)Drupal communityInitial releaseMay 18, 2000; 19 years ago (2000-05-18)[1]Stable release8.8.5[2]
   / 2020-04-02[±]Preview release9.0.0-beta2
   / 2020-03-30[2]RepositoryDrupal RepositoryWritten inPHP, using SymfonyOperating systemUnix-like, WindowsPlatformWeb platformSize80 MB (uncompressed Drupal 8 core)[3]TypeContent management framework, content management system, blog softwareLicenseGPLv2+[4]",Drupal,https://en.wikipedia.org/wiki/Drupal
2020-04-01 20:06:00,"Family of text editorsNot to be confused with eMac.This article is about the class of text editors. For the most popular current example, see GNU Emacs.EmacsEditing multiple Dired buffers in GNU EmacsDeveloper(s)David A. MoonGuy L. Steele Jr.Richard M. StallmanInitial release1976; 44 years ago (1976)[1][2]Stable release26.3 (August 28, 2019; 7 months ago (2019-08-28)) [±]Written inLisp, COperating systemCross-platformTypeText editorWebsitewww.gnu.org/software/emacs",Emacs,https://en.wikipedia.org/wiki/Emacs
2020-04-01 10:51:00,"Open source blockchain computing platformEthereumEthereum LogoOriginal author(s)Vitalik Buterin, Gavin WoodDeveloper(s)Ethereum FoundationInitial release30 July 2015; 4 years ago (2015-07-30)Stable releaseMuir Glacier / 1 January 2020; 3 months ago (2020-01-01)Development statusActiveSoftware usedEVM 1 BytecodeWritten inC++, Go, Python, Rust, ScalaOperating systemCross-platformPlatformx86-64, ARMSize300 GB (2020-03)TypeDistributed ComputingLicenseOpen-Source LicensesTotal users",Ethereum,https://en.wikipedia.org/wiki/Ethereum
